745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2015-4-29,15:00:00,14395,14425,13945,14140,689906
2015-4-30,15:00:00,14215,14600,14150,14550,721608
2015-5-4,15:00:00,14720,15310,14650,15090,715928
2015-5-5,15:00:00,15090,15220,14920,15115,636446
2015-5-6,15:00:00,15265,15265,14965,15120,725040
2015-5-7,15:00:00,15160,15375,14725,14830,778868
2015-5-8,15:00:00,14845,14960,14670,14785,667828
2015-5-11,15:00:00,14840,15025,14650,14905,591510
2015-5-12,15:00:00,14850,15005,14725,14775,584594
2015-5-13,15:00:00,14860,15000,14705,14860,562078
2015-5-14,15:00:00,14885,14910,14265,14390,607088
2015-5-15,15:00:00,14395,14560,14375,14475,446830
2015-5-18,15:00:00,14435,14785,14375,14645,574426
2015-5-19,15:00:00,14645,14695,14410,14510,469908
2015-5-20,15:00:00,14420,14420,13725,13810,729316
2015-5-21,15:00:00,13865,14090,13865,13995,481100
2015-5-22,15:00:00,13990,14230,13925,14090,490804
2015-5-25,15:00:00,13965,14140,13835,14135,481642
2015-5-26,15:00:00,14210,14780,14205,14560,806198
2015-5-27,15:00:00,14495,14750,14470,14725,606868
2015-5-28,15:00:00,14735,15330,14675,14885,979256
2015-5-29,15:00:00,14800,15230,14600,15225,815836
2015-6-1,15:00:00,15220,15525,14980,15070,970732
2015-6-2,15:00:00,15055,15335,14895,15095,856538
2015-6-3,15:00:00,15155,15250,14700,14705,715504
2015-6-4,15:00:00,14695,14875,14410,14870,819214
2015-6-5,15:00:00,14890,14950,14570,14750,702930
2015-6-8,15:00:00,14765,14930,14605,14660,577672
2015-6-9,15:00:00,14620,14820,14550,14640,533676
2015-6-10,15:00:00,14675,14830,14655,14815,495650
2015-6-11,15:00:00,14890,15040,14855,14920,580210
2015-6-12,15:00:00,14900,14940,14255,14270,663448
2015-6-15,15:00:00,14275,14400,14175,14270,482766
2015-6-16,15:00:00,14285,14510,14105,14415,562004
2015-6-17,15:00:00,14415,14440,14215,14275,584224
2015-6-18,15:00:00,14380,14400,14035,14055,582266
2015-6-19,15:00:00,14060,14265,13995,14110,491444
2015-6-23,15:00:00,14110,14350,14110,14280,359292
2015-6-24,15:00:00,14265,14375,14225,14280,344426
2015-6-25,15:00:00,14290,14295,13790,13805,606166
2015-6-26,15:00:00,13820,13910,13610,13840,561064
2015-6-29,15:00:00,13875,13905,13690,13790,516938
2015-6-30,15:00:00,13780,13800,13020,13240,781054
2015-7-1,15:00:00,13285,13840,13240,13660,615254
2015-7-2,15:00:00,13590,13785,13555,13735,477830
2015-7-3,15:00:00,13765,13980,13500,13680,573492
2015-7-6,15:00:00,13680,13685,13040,13175,669796
2015-7-7,15:00:00,13140,13325,12810,12865,677838
2015-7-8,15:00:00,12775,12795,12305,12310,203486
2015-7-9,15:00:00,11710,12985,11335,12645,1356906
2015-7-10,15:00:00,12550,13060,12470,12615,1021714
2015-7-13,15:00:00,12595,12750,12410,12590,676754
2015-7-14,15:00:00,12705,12910,12560,12575,682916
2015-7-15,15:00:00,12655,12800,12615,12705,524614
2015-7-16,15:00:00,12715,12865,12350,12825,898726
2015-7-17,15:00:00,12790,12935,12670,12745,552272
