1685, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2012-9-20,15:00:00,24210,24340,23750,23880,624360
2012-9-21,15:00:00,24190,24410,23965,24140,615222
2012-9-24,15:00:00,23980,23980,23385,23565,545496
2012-9-25,15:00:00,23685,23805,23560,23655,436422
2012-9-26,15:00:00,23460,23980,23455,23840,585518
2012-9-27,15:00:00,23655,24415,23595,24080,467108
2012-9-28,15:00:00,24400,25045,24225,25000,471974
2012-10-8,15:00:00,24760,24830,24400,24635,418372
2012-10-9,15:00:00,24735,25780,24690,25710,783646
2012-10-10,15:00:00,25600,25715,25425,25680,437728
2012-10-11,15:00:00,25510,25930,25315,25590,690178
2012-10-12,15:00:00,25725,25895,25235,25380,689760
2012-10-15,15:00:00,24880,25385,24770,25180,596134
2012-10-16,15:00:00,25300,25395,25070,25215,464738
2012-10-17,15:00:00,25305,25545,25130,25300,518234
2012-10-18,15:00:00,25525,25700,25435,25610,430630
2012-10-19,15:00:00,25550,25615,24825,24860,620314
2012-10-22,15:00:00,24515,24850,24465,24845,420820
